Supplementary Table 3: Information of Sequences Used to Test the Model's Ability to Generalize,,,,,,,,
,ID,Organism Name,MolTyp,Topology,Description,Genome Type,Length,Family
2091,LN794214.1,Tomato leaf curl Gujarat virus,DNA,circular,"Tomato Leaf Curl Gujarat virus, complete genome, clone SAZ-94_H-16-V-1-1",ssDNA(+/-),2758,Geminiviridae
2092,KT626573.1,Deltapapillomavirus 5,DNA,circular,"Deltapapillomavirus 5 isolate DE1641-14, complete genome",dsDNA,8029,Papillomaviridae
2093,KT239104.1,Myzus persicae nicotianae densovirus,DNA,linear,"Myzus persicae nicotianae densovirus strain SDMPN, complete genome",ssDNA(+/-),5480,Parvoviridae
2094,KR868228.1,Bovine papillomavirus type 14,DNA,circular,"Bovine papillomavirus type 14 isolate Aks-03, complete genome",dsDNA,7966,Papillomaviridae
2095,KT372348.1,Human papillomavirus 199,DNA,linear,"Human papillomavirus type 199 isolate A484-SLO, complete genome",dsDNA,7184,Papillomaviridae
2096,KR131749.1,Mulberry crinkle-associated virus,ss-DNA,circular,"Mulberry crinkle-associated virus, complete genome",ssDNA(+/-),2952,Geminiviridae
2097,HM159246.1,Porcine endogenous retrovirus C,mRNA,linear,"Porcine endogenous retrovirus C, complete genome",ssRNA-RT,8774,Retroviridae
2098,AY033146.2,Simian immunodeficiency virus 17E-Fr,DNA,linear,"Simian immunodeficiency virus 17E-Fr, complete genome",ssRNA-RT,10279,Retroviridae
2099,KM589507.1,Microviridae Fen51_42,DNA,circular,"Microviridae Fen51_42, complete genome",ssDNA(+),4451,Microviridae
2100,KM262781.1,Seal anellovirus 7,DNA,linear,"Seal anellovirus 7 isolate SeAv7-PV13431, complete genome",ssDNA(-),2165,Anelloviridae
2101,KM262785.1,Seal anellovirus 6,DNA,linear,"Seal anellovirus 6 isolate SeAv6-PV13-431, complete genome",ssDNA(-),2143,Anelloviridae
2102,KR013745.1,Mesta yellow vein mosaic virus,ss-DNA,circular,"Mesta yellow vein mosaic virus isolate Islamabad61, complete genome",ssDNA(+/-),2750,Geminiviridae
2103,HF571060.1,Hepatitis B virus subgenotype A3/genotype E,DNA,circular,"Hepatitis B virus subgenotype A3/genotype E, complete genome, isolate 56325",dsDNA-RT,3215,Hepadnaviridae
2104,KM591902.1,Rhesus adenovirus 52,DNA,linear,"Rhesus adenovirus 52, complete genome",dsDNA,34391,Adenoviridae
2105,KM591903.1,Rhesus adenovirus 53,DNA,linear,"Rhesus adenovirus 53, complete genome",dsDNA,34475,Adenoviridae
2106,KJ578775.1,Propionibacterium phage PHL114N00,DNA,linear,"Propionibacterium phage PHL114N00, complete genome",dsDNA,29464,Siphoviridae
2107,KP133076.1,Gemycircularvirus SL2,DNA,circular,"Gemycircularvirus SL2, complete genome",ssDNA,2199,Genomoviridae
2108,KP133077.1,Gemycircularvirus SL3,DNA,circular,"Gemycircularvirus SL3, complete genome",ssDNA,2199,Genomoviridae
2109,KP133078.1,Gemycircularvirus BZ1,DNA,circular,"Gemycircularvirus BZ1, complete genome",ssDNA,2199,Genomoviridae
2110,KP133079.1,Gemycircularvirus BZ2,DNA,circular,"Gemycircularvirus BZ2, complete genome",ssDNA,2199,Genomoviridae
2111,KP133080.1,Gemycircularvirus NP,DNA,circular,"Gemycircularvirus NP, complete genome",ssDNA,2199,Genomoviridae
2112,HG974563.1,Infectious bursal disease virus,RNA,linear,"Infectious bursal disease virus segment A, complete genome, strain 89163",dsRNA,3198,Birnaviridae
2113,KM496325.1,Bovine polyomavirus 2b,DNA,circular,"Bovine polyomavirus-2b isolate 2bS5, complete genome",dsDNA,5085,Polyomaviridae
2114,KM598414.1,Gallus gallus enteric parvovirus,DNA,linear,"Gallus gallus enteric parvovirus isolate ChPV 367, complete genome",ssDNA(+/-),4620,Parvoviridae
2115,KM598418.1,Meleagris gallopavo enteric parvovirus,DNA,linear,"Meleagris gallopavo enteric parvovirus isolate TuPV 1030, complete genome",ssDNA(+/-),4642,Parvoviridae
2116,KJ452170.1,Duck adenovirus 1,DNA,linear,"Duck adenovirus 1 isolate D11-JW-012, complete genome",dsDNA,33213,Adenoviridae
2117,AJ314739.1,Indian cassava mosaic virus-[Maharashtra],DNA,circular,"Indian cassava mosaic virus-[Maharashtra] DNA-A, complete genome, isolate ICMV-Mah",ssDNA(+/-),2739,Geminiviridae
2118,AM992617.1,Mungbean yellow mosaic India virus,DNA,circular,"Mungbean yellow mosaic India virus, segment DNA-B, complete genome",ssDNA(+/-),2672,Geminiviridae
2119,X63015.1,Tomato yellow leaf curl Thailand virus-[1],DNA,linear,Tomato yellow leaf curl Thailand virus-[1] complete genome (TYLCV-TH A-DNA),ssDNA(+/-),2743,Geminiviridae
2120,KJ577598.1,Anubis baboon polyomavirus,DNA,circular,"Anubis baboon polyomavirus isolate K922AD-LPCZ1, complete genome",dsDNA,5173,Polyomaviridae
2121,KJ617393.1,Streptococcus phage SOCP,DNA,linear,"Streptococcus phage SOCP, complete genome",dsDNA,19347,Podoviridae
2122,KM105951.1,Parvovirus NIH-CQV-Co,DNA,circular,"Parvovirus NIH-CQV-Co, complete genome",ssDNA(+/-),3361,Parvoviridae
2123,KJ145795.1,Human papillomavirus type 72b,DNA,linear,"Human papillomavirus type 72b, complete genome",dsDNA,8098,Papillomaviridae
2124,KP099578.1,Phodopus sungorus papillomavirus type 1,DNA,circular,"Phodopus sungorus papillomavirus type 1 isolate APV105, complete genome",dsDNA,7630,Papillomaviridae
2125,KJ913682.1,Tomato yellow leaf curl virus - Mild,DNA,circular,"Tomato yellow leaf curl virus - Mild isolate DO:Azua:TY5-01:2011, complete genome",ssDNA(+/-),2791,Geminiviridae
2126,KM189818.1,Jatropha leaf crumple India virus [J. curcas: Jodhpur],DNA,circular,"Jatropha leaf crumple India virus [J. curcas: Jodhpur] isolate SKJ2, complete genome",ssDNA(+/-),2737,Geminiviridae
2127,JQ621844.1,Sweet potato leaf curl Sao Paulo virus-[ZA:WP:2011],DNA,circular,"Sweet potato leaf curl Sao Paulo virus-[ZA:WP:2011] isolate PstI-012, complete genome",ssDNA(+/-),2769,Geminiviridae
2128,KJ452214.1,Human gyrovirus 1,DNA,linear,"Human gyrovirus type 1 strain G13, complete genome",ssDNA(+/-),2375,Circoviridae
2129,AB981170.1,Ralstonia phage RSMSuper,DNA,circular,"Ralstonia phage RSMSuper DNA, complete genome",ssDNA(+),8956,Inoviridae
2130,AB910602.1,Xanthomonas phage XacF1,DNA,circular,"Xanthomonas phage XacF1 DNA, complete genome",ssDNA(+),7325,Inoviridae']
2131,KF676640.1,Lactococcus phage SK1833,DNA,linear,"Lactococcus phage SK1833, complete genome",dsDNA,28452,Siphoviridae
2132,KJ668270.1,Ecotropic murine leukemia virus,RNA,linear,"Ecotropic murine leukemia virus, complete genome",ssRNA-RT,8275,Retroviridae
2133,KJ668271.1,Polytropic murine leukemia virus,RNA,linear,"Polytropic murine leukemia virus, complete genome",ssRNA-RT,8203,Retroviridae
2134,DQ458781.4,Penaeus merguiensis hepandensovirus,DNA,linear,"Penaeus merguiensis hepandensovirus strain Australia, complete genome",ssDNA(+/-),6299,Parvoviridae
2135,FJ973558.1,Human bocavirus 2a TU,DNA,linear,"Human bocavirus 2a TU strain HBoV2A-TU-A-114-06, complete genome",ssDNA(+/-),4966,Parvoviridae
2136,FJ973560.1,Human bocavirus 2b NI,DNA,linear,"Human bocavirus 2b NI strain HBoV2B-NI-213, complete genome",ssDNA(+/-),4958,Parvoviridae
2137,GQ411199.1,Penaeus monodon penstyldensovirus 1,DNA,linear,"Penaeus monodon penstyldensovirus 1 strain IN-07, complete genome",ssDNA(+/-),3908,Parvoviridae
2138,JF800658.1,Canis familiaris papillomavirus 11,DNA,circular,"Canine papillomavirus 11, complete genome",dsDNA,7828,Papillomaviridae
2139,KF786280.1,Koala retrovirus,DNA,linear,"Koala retrovirus isolate Pci-582119, complete genome",ssRNA-RT,8440,Retroviridae
2140,KC476655.1,Eclipta yellow vein virus [India: Lucknow: Andrographis panicula...,DNA,circular,"Eclipta yellow vein virus [India: Lucknow: Andrographis paniculata:2010] isolate CSIR-CIMAP-A24, complete genome",ssDNA(+/-),2739,Geminiviridae
2141,HF968639.1,Barley dwarf virus,DNA,circular,"Barley dwarf virus complete genome, isolate ES1BDV, clone BamKl1",ssDNA(+/-),2740,Geminiviridae
2142,KF229718.1,Chili leaf curl virus-Oman,DNA,circular,"Chili leaf curl virus-Oman isolate Tom-26, complete genome",ssDNA(+/-),2761,Geminiviridae
2143,KF229721.1,Tomato yellow leaf curl virus-Oman,DNA,circular,"Tomato yellow leaf curl virus-Oman isolate Tom-30, complete genome",ssDNA(+/-),2763,Geminiviridae
2144,KF906413.1,Human adenovirus 11+34,DNA,linear,"Human adenovirus 11+34 strain IC763, complete genome",dsDNA,34780,Adenoviridae
2145,JF304766.1,Saimiri sciureus papillomavirus 2,DNA,circular,"Saimiri sciureus papillomavirus type 2 isolate Mac2067.1, complete genome",dsDNA,7657,Papillomaviridae
2146,JF304767.1,Saimiri sciureus papillomavirus 3,DNA,circular,"Saimiri sciureus papillomavirus type 3 isolate Mac2167.2, complete genome",dsDNA,7664,Papillomaviridae
2147,JF304768.1,Human papillomavirus 152,DNA,circular,"Human papillomavirus type 152 isolate Muc17.1, complete genome",dsDNA,7480,Papillomaviridae
2148,AB625342.1,HBV genotype G,DNA,circular,"HBV genotype G DNA, complete genome, isolate: MEX918M",dsDNA-RT,3248,Hepadnaviridae
2149,KF029428.1,Simian T-cell lymphotropic virus 4,DNA,linear,"Simian T-cell lymphotropic virus 4 isolate Ggo50539, complete genome",ssRNA-RT,8792,Retroviridae
2150,KC108722.1,Human papillomavirus 180,DNA,circular,"Human papillomavirus type 180 isolate FA69, complete genome",dsDNA,7356,Papillomaviridae
2151,KC138720.1,Human papillomavirus type XS2,DNA,circular,"Human Papillomavirus type XS2, complete genome",dsDNA,7830,Papillomaviridae
2152,KC862317.1,Human papillomavirus type 168,DNA,circular,"Human papillomavirus type 168 isolate KC15, complete genome",dsDNA,7204,Papillomaviridae
2153,KF170373.1,Parvo-like hybrid virus UC1,DNA,linear,"Parvo-like hybrid virus UC1, complete genome",ssDNA(+/-),3638,Parvoviridae
2154,KF214638.1,Parvo-like hybrid virus UC11,DNA,linear,"Parvo-like hybrid virus UC11, complete genome",ssDNA(+/-),3637,Parvoviridae
2155,KF214640.1,Parvo-like hybrid virus UC9,DNA,linear,"Parvo-like hybrid virus UC9, complete genome",ssDNA(+/-),3638,Parvoviridae
2156,KF214645.1,Parvo-like hybrid virus UC4,DNA,linear,"Parvo-like hybrid virus UC4, complete genome",ssDNA(+/-),3638,Parvoviridae
2157,JX448368.1,Sweet potato leaf curl Georgia virus-[China: Hebei: 2011],DNA,circular,"Sweet potato leaf curl Georgia virus-[China: Hebei: 2011], complete genome",ssDNA(+/-),2785,Geminiviridae
2158,KF176552.1,Chickpea chlorotic dwarf virus D,DNA,circular,"Chickpea chlorotic dwarf virus D isolate 4K1, complete genome",ssDNA(+/-),2585,Geminiviridae
2159,KC172690.1,Chickpea chlorosis virus-B,ss-DNA,circular,"Chickpea chlorosis virus-B isolate 30, complete genome",ssDNA(+/-),2586,Geminiviridae
2160,KC172694.1,Chickpea chlorosis virus-E,ss-DNA,circular,"Chickpea chlorosis virus-E isolate 3487O, complete genome",ssDNA(+/-),2591,Geminiviridae
2161,KC172700.1,Chickpea chlorosis virus,ss-DNA,circular,"Chickpea chlorosis virus isolate F 3487J, complete genome",ssDNA(+/-),2590,Geminiviridae
2162,KC172702.1,Tobacco yellow dwarf virus-A,ss-DNA,circular,"Tobacco yellow dwarf virus-A isolate 2563, complete genome",ssDNA(+/-),2580,Geminiviridae
2163,KC427993.1,Grapevine redleaf-associated virus,DNA,circular,"Grapevine redleaf-associated virus isolate GiGV-WA-RS, complete genome",ssDNA(+/-),3208,Geminiviridae
2164,KC470250.1,Human papillomavirus type 45,DNA,circular,"Human papillomavirus type 45 isolate Z79, complete genome",dsDNA,7858,Papillomaviridae
2165,KF044309.1,Enterobacteria phage FL68 Tallahassee/FL/2012,DNA,circular,"Enterobacteria phage FL68 Tallahassee/FL/2012, complete genome",ssDNA(+),5486,Microviridae
2166,KF044310.1,Enterobacteria phage FL76 Tallahassee/FL/2012,DNA,circular,"Enterobacteria phage FL76 Tallahassee/FL/2012, complete genome",ssDNA(+),5486,Microviridae
2167,KF133819.1,Circoviridae 12 LDMD-2013,DNA,circular,"Circoviridae 12 LDMD-2013, complete genome",ssDNA(+/-),2827,Circoviridae
2168,KF133824.1,Circoviridae 17 LDMD-2013,DNA,circular,"Circoviridae 17 LDMD-2013, complete genome",ssDNA(+/-),3393,Circoviridae
2169,KF133827.1,Circoviridae 20 LDMD-2013,DNA,circular,"Circoviridae 20 LDMD-2013, complete genome",ssDNA(+/-),2604,Circoviridae
2170,HE974362.1,HBV genotype A1,DNA,circular,"HBV genotype A1 complete genome, isolate Mart-B01",dsDNA-RT,3221,Hepadnaviridae
2171,HE974364.1,HBV genotype A2,DNA,circular,"HBV genotype A2 complete genome, isolate Mart-B15",dsDNA-RT,3221,Hepadnaviridae
2172,HE974366.1,HBV genotype F2,DNA,circular,"HBV genotype F2 complete genome, isolate Mart-B18",dsDNA-RT,3215,Hepadnaviridae
2173,HE974368.1,HBV genotype F4,DNA,circular,"HBV genotype F4 complete genome, isolate Mart-B24",dsDNA-RT,3215,Hepadnaviridae
2174,HE974372.1,HBV genotype D4,DNA,circular,"HBV genotype D4 complete genome, isolate Mart-B36",dsDNA-RT,3182,Hepadnaviridae
2175,HE974377.1,HBV genotype D3,DNA,circular,"HBV genotype D3 complete genome, isolate Mart-B47",dsDNA-RT,3182,Hepadnaviridae
2176,KF218188.1,Radish leaf curl virus,DNA,circular,"Radish leaf curl virus isolate Sikar GD2, complete genome",ssDNA(+/-),2732,Geminiviridae
2177,HF930491.1,Human papillomavirus 174,DNA,linear,"Human papillomavirus type 174 complete genome, isolate V001",dsDNA,7359,Papillomaviridae
2178,AB543507.1,Bovine papillomavirus type 11,DNA,circular,"Bovine papillomavirus type 11 DNA, complete genome",dsDNA,7251,Papillomaviridae
2179,FM955607.1,Mungbean yellow mosaic virus,DNA,circular,"Mungbean yellow mosaic virus, segment DNA-B, bv1 gene for nuclear shuttle protein and bc1 gene for movement protein, clone MI67, complete genome",ssDNA(+/-),2676,Geminiviridae
2180,FN677755.1,Human papillomavirus type 150,DNA,circular,"Human papillomavirus type 150, complete genome, isolate SIBX1",dsDNA,7436,Papillomaviridae
2181,FN677756.1,Human papillomavirus 151,DNA,circular,"Human papillomavirus type 151, complete genome, isolate SIBX2",dsDNA,7386,Papillomaviridae
2182,HE963025.1,Human papillomavirus 159,DNA,circular,"Human papillomavirus type 159 complete genome, isolate SIBX8",dsDNA,7443,Papillomaviridae
2183,JN211195.1,Human papillomavirus 17,DNA,circular,"Human papillomavirus type 17 isolate S410, complete genome",dsDNA,7426,Papillomaviridae
2184,JN211196.1,Human papillomavirus 38,DNA,circular,"Human papillomavirus type 38 isolate S418, complete genome",dsDNA,7397,Papillomaviridae
2185,FN547152.2,Human papillomavirus 125,DNA,circular,"Human papillomavirus type 125 complete genome, strain SIBX9",dsDNA,7809,Papillomaviridae
2186,JN603370.1,Sputnik virophage 3,DNA,circular,"Sputnik virophage 3, complete genome",dsDNA,18338,Lavidaviridae
2187,JQ012790.2,Pedilanthus leaf curl virus-[Cestrum nocturnum],DNA,linear,"Pedilanthus leaf curl virus-[Cestrum nocturnum], complete genome",ssDNA(+/-),2764,Geminiviridae
2188,JX413105.1,Human papillomavirus 169,DNA,circular,"Human papillomavirus type 169 isolate KC6, complete genome",dsDNA,7252,Papillomaviridae
2189,JX413106.1,Human papillomavirus type 164,DNA,circular,"Human papillomavirus type 164 isolate KC4, complete genome",dsDNA,7233,Papillomaviridae
2190,JX413108.1,Human papillomavirus type 162,DNA,circular,"Human papillomavirus type 162 isolate KC2, complete genome",dsDNA,7214,Papillomaviridae
2191,JX413110.1,Human papillomavirus 170,DNA,circular,"Human papillomavirus type 170 isolate KC8, complete genome",dsDNA,7417,Papillomaviridae
2192,JX444072.1,Human papillomavirus 165,DNA,circular,"Human papillomavirus type 165 isolate KC7, complete genome",dsDNA,7129,Papillomaviridae
2193,HQ154630.1,Xenotropic MuLV-related virus,RNA,linear,"Xenotropic MuLV-related virus isolate xmlv15, complete genome",ssRNA-RT,8176,Retroviridae
2194,JN807764.2,Pedilanthus leaf curl virus-[Crape Jasmine],DNA,circular,"Pedilanthus leaf curl virus-[Crape Jasmine], complete genome",ssDNA(+/-),2764,Geminiviridae
2195,JX082259.1,Beet curly top Iran virus-[Siv],DNA,circular,"Beet curly top Iran virus-[Siv], complete genome",ssDNA(+/-),2845,Geminiviridae
2196,JX174437.1,Bos grunniens papillomavirus type 1,DNA,circular,"Bos grunniens papillomavirus type 1 strain QH-1, complete genome",dsDNA,7946,Papillomaviridae
2197,JN688724.1,Pepper golden mosaic virus,DNA,circular,"Pepper golden mosaic virus isolate Turrialba 2, complete genome",ssDNA(+/-),2619,Geminiviridae
2198,JF906559.1,Human papillomavirus 155,DNA,linear,"Human papillomavirus 155 isolate SE42, complete genome",dsDNA,7352,Papillomaviridae
2199,JX262162.1,Human polyomavirus 10,DNA,circular,"Human polyomavirus 10 isolate 10ww, complete genome",dsDNA,4939,Polyomaviridae']
2200,JN680352.1,Tomato severe leaf curl virus - Huasteca,DNA,linear,"Tomato severe leaf curl virus - Huasteca, complete genome",ssDNA(+/-),2612,Geminiviridae
2201,JN680353.1,Tomato yellow leaf curl virus - Huasteca,DNA,linear,"Tomato yellow leaf curl virus - Huasteca, complete genome",ssDNA(+/-),2794,Geminiviridae
2202,JQ303121.1,Tomato yellow leaf curl virus-IL [MX: SLP:11],DNA,circular,"Tomato yellow leaf curl virus-IL [MX: SLP:11], complete genome",ssDNA(+/-),2794,Geminiviridae
2203,JQ303122.1,Pepper huasteco yellow vein virus- San Luis Potosi,DNA,circular,"Pepper huasteco yellow vein virus- San Luis Potosi, complete genome",ssDNA(+/-),2630,Geminiviridae
2204,FJ751233.1,African cassava mosaic virus-cotton,DNA,circular,"African cassava mosaic virus-cotton clone ACMV-Punc19, complete genome",ssDNA(+/-),2756,Geminiviridae
2205,JN681175.1,Porcine bocavirus 3C,DNA,linear,"Porcine bocavirus 3C isolate pig/ZJD/China/2006, complete genome",ssDNA(+/-),5235,Parvoviridae
2206,HM999998.1,Human papillomavirus 146,DNA,circular,"Human papillomavirus type 146 isolate GH1677, complete genome",dsDNA,7265,Papillomaviridae
2207,HM999999.1,Human papillomavirus type 147,DNA,circular,"Human papillomavirus type 147 isolate GH659, complete genome",dsDNA,7224,Papillomaviridae
2208,FN598907.1,Human papillomavirus 120,DNA,circular,"Human papillomavirus type 120 complete genome, isolate SIBX-3a",dsDNA,7304,Papillomaviridae
2209,HM140364.1,Chilli leaf curl virus-DU [India:New Delhi:Papaya:2009],DNA,circular,"Chilli leaf curl virus-DU [India:New Delhi:Papaya:2009], complete genome",ssDNA(+/-),2763,Geminiviridae
2210,HM140365.1,Chilli leaf curl virus-HD [India:New Delhi:Papaya:2007],DNA,circular,"Chilli leaf curl virus-HD [India:New Delhi:Papaya:2007], complete genome",ssDNA(+/-),2763,Geminiviridae
2211,HM140366.1,Chilli leaf curl virus-Panipat1 [India:Panipat:Papaya:2008],DNA,circular,"Chilli leaf curl virus-Panipat1 [India:Panipat:Papaya:2008], complete genome",ssDNA(+/-),2761,Geminiviridae
2212,HM140368.1,Papaya leaf crumple virus-Nirulas [India:New Delhi:Papaya:2007],DNA,circular,"Papaya leaf crumple virus-Nirulas [India:New Delhi:Papaya:2007], complete genome",ssDNA(+/-),2736,Geminiviridae
2213,HM140369.1,Papaya leaf crumple virus-Najafgarh 1 [India:New Delhi:Papaya:2008],DNA,circular,"Papaya leaf crumple virus-Najafgarh 1 [India:New Delhi:Papaya:2008], complete genome",ssDNA(+/-),2736,Geminiviridae
2214,HM140370.1,Chilli leaf curl virus-Najafgarh2 [India:New Delhi:Papaya:2009],DNA,circular,"Chilli leaf curl virus-Najafgarh2 [India:New Delhi:Papaya:2009], complete genome",ssDNA(+/-),2763,Geminiviridae
2215,HM140371.1,Chilli leaf curl virus-Noida [India:Uttar Pradesh:Papaya:2009],DNA,circular,"Chilli leaf curl virus-Noida [India:Uttar Pradesh:Papaya:2009], complete genome",ssDNA(+/-),2762,Geminiviridae
2216,JQ825226.1,Tomato leaf curl Palampur virus,DNA,circular,"Tomato leaf curl Palampur virus isolate IR:Jir:T69P:Cuc:08, complete genome",ssDNA(+/-),2756,Geminiviridae
